date,store_id,transaction_count
2026-01-11,2,1958
2026-01-11,3,3613
2026-01-11,6,2146
2026-01-11,7,1543
2026-01-11,8,2706
2026-01-11,9,2187
2026-01-11,11,2627
2026-01-11,20,2131
2026-01-11,24,1743
2026-01-11,27,1987
2026-01-11,39,1648
2026-01-11,40,1230
2026-01-11,44,5305
2026-01-11,45,4691
2026-01-11,46,4834
2026-01-11,47,4983
2026-01-11,48,4174
2026-01-11,49,3578
2026-01-11,50,3167
2026-01-11,51,1856
2026-01-12,2,1805
2026-01-12,3,2977
2026-01-12,6,1771
2026-01-12,7,1958
2026-01-12,8,2677
2026-01-12,9,2073
2026-01-12,11,2132
2026-01-12,20,1374
2026-01-12,24,2087
2026-01-12,27,1351
2026-01-12,39,1302
2026-01-12,40,1473
2026-01-12,44,4115
2026-01-12,45,3497
2026-01-12,46,3281
2026-01-12,47,3728
2026-01-12,48,2695
2026-01-12,49,2835
2026-01-12,50,2286
2026-01-12,51,1430
2026-01-13,2,1765
2026-01-13,3,2767
2026-01-13,6,1555
2026-01-13,7,1847
2026-01-13,8,2473
2026-01-13,9,1921
2026-01-13,11,2303
2026-01-13,20,1361
2026-01-13,24,2139
2026-01-13,27,1513
2026-01-13,39,1332
2026-01-13,40,1420
2026-01-13,44,3899
2026-01-13,45,3218
2026-01-13,46,2816
2026-01-13,47,3406
2026-01-13,48,2354
2026-01-13,49,2710
2026-01-13,50,2216
2026-01-13,51,1489
2026-01-14,2,1794
2026-01-14,3,3009
2026-01-14,6,1658
2026-01-14,7,1829
2026-01-14,8,2776
2026-01-14,9,1810
2026-01-14,11,1904
2026-01-14,20,1159
2026-01-14,24,2215
2026-01-14,27,1654
2026-01-14,39,1201
2026-01-14,40,1327
2026-01-14,44,4271
2026-01-14,45,3402
2026-01-14,46,2991
2026-01-14,47,3496
2026-01-14,48,2358
2026-01-14,49,2893
2026-01-14,50,2168
2026-01-14,51,1732
2026-01-15,2,1721
2026-01-15,3,2669
2026-01-15,6,1473
2026-01-15,7,1709
2026-01-15,8,2514
2026-01-15,9,1808
2026-01-15,11,1906
2026-01-15,20,1206
2026-01-15,24,2089
2026-01-15,27,1324
2026-01-15,39,1119
2026-01-15,40,1259
2026-01-15,44,3838
2026-01-15,45,3073
2026-01-15,46,2755
2026-01-15,47,3163
2026-01-15,48,2403
2026-01-15,49,2668
2026-01-15,50,2076
2026-01-15,51,1408
2026-01-16,2,2049
2026-01-16,3,3273
2026-01-16,6,1775
2026-01-16,7,1942
2026-01-16,8,2922
2026-01-16,9,1790
2026-01-16,11,1886
2026-01-16,20,1186
2026-01-16,24,2356
2026-01-16,27,1471
2026-01-16,39,1281
2026-01-16,40,1294
2026-01-16,44,4550
2026-01-16,45,3810
2026-01-16,46,3215
2026-01-16,47,3724
2026-01-16,48,2596
2026-01-16,49,3301
2026-01-16,50,2489
2026-01-16,51,1846
2026-01-17,2,2153
2026-01-17,3,3777
2026-01-17,6,2195
2026-01-17,7,1902
2026-01-17,8,3034
2026-01-17,9,2327
2026-01-17,11,2290
2026-01-17,20,1803
2026-01-17,24,1998
2026-01-17,27,1780
2026-01-17,39,1752
2026-01-17,40,1395
2026-01-17,44,5168
2026-01-17,45,4549
2026-01-17,46,4450
2026-01-17,47,4796
2026-01-17,48,3852
2026-01-17,49,3631
2026-01-17,50,3270
2026-01-17,51,1705
2026-01-18,2,1936
2026-01-18,3,3738
2026-01-18,6,2193
2026-01-18,7,1635
2026-01-18,8,2773
2026-01-18,9,2256
2026-01-18,11,2655
2026-01-18,20,2122
2026-01-18,24,1827
2026-01-18,27,1990
2026-01-18,39,1633
2026-01-18,40,1134
2026-01-18,44,5459
2026-01-18,45,4529
2026-01-18,46,4530
2026-01-18,47,4854
2026-01-18,48,4138
2026-01-18,49,3653
2026-01-18,50,3086
2026-01-18,51,1823
2026-01-19,2,1826
2026-01-19,3,3040
2026-01-19,6,1690
2026-01-19,7,1829
2026-01-19,8,2738
2026-01-19,9,2078
2026-01-19,11,2139
2026-01-19,20,1294
2026-01-19,24,2187
2026-01-19,27,1523
2026-01-19,39,1349
2026-01-19,40,1457
2026-01-19,44,4063
2026-01-19,45,3502
2026-01-19,46,3080
2026-01-19,47,3679
2026-01-19,48,2565
2026-01-19,49,2944
2026-01-19,50,2203
2026-01-19,51,1561
2026-01-20,2,1694
2026-01-20,3,2744
2026-01-20,6,1575
2026-01-20,7,1788
2026-01-20,8,2487
2026-01-20,9,1964
2026-01-20,11,2043
2026-01-20,20,1275
2026-01-20,24,2095
2026-01-20,27,1498
2026-01-20,39,1372
2026-01-20,40,1504
2026-01-20,44,3787
2026-01-20,45,3171
2026-01-20,46,2809
2026-01-20,47,3341
2026-01-20,48,2354
2026-01-20,49,2573
2026-01-20,50,2075
2026-01-20,51,1600
2026-01-21,2,1851
2026-01-21,3,3030
2026-01-21,6,1716
2026-01-21,7,2027
2026-01-21,8,2760
2026-01-21,9,1871
2026-01-21,11,1989
2026-01-21,20,1255
2026-01-21,24,2246
2026-01-21,27,1617
2026-01-21,39,1263
2026-01-21,40,1283
2026-01-21,44,4237
